"","label","rawValidateRSD","SERRFValidateRSD"
"1","Styrene",4.51103438980337,4.7312306688778
"2","3-Picoline",0.412746902635741,0.39337696662503
"3","Hexanoic acid, methyl ester",0.833575011285346,0.844546486129442
"4","Cyclotetrasiloxane, octamethyl-",0.328166970462933,0.177861933013588
"5","Butanoic acid, 3-hydroxy-, methyl ester, (S)-",0.619136803917775,0.588937650711176
"6","Decane",0.325122961802748,0.205433419773709
"7","Acetic acid, trichloro-, methyl ester",0.338643025192413,0.306292552139502
"8",".alpha.-Methoxymethoxy-3-methoxymethoxybenzyl",0.476745593248891,0.193604729223709
"9","Methyl 1-Dideuterio-2-propenyl Ether",0.394020841086595,0.170817171581592
"10","1-isopropyl-2,3-dimethyl-aziridine",0.379529132982623,0.209403576647201
"11","2-tert-Butyl-5-methyl-1,3-dioxolan-4-one",0.158535341393514,0.0634345305617867
"12","Ethane, 1,1,2,2-tetrachloro-",0.142976926971463,0.0934394595175195
"13","Ethane, pentachloro-",0.251917772625084,0.132066251161537
"14","1,3,5,7-Tetroxane",0.401778591004811,0.294093847569929
"15","Methyl 2,2-dimethoxypropanoate",0.392198268971791,0.319975855624861
"16","Methyl 3-methyl-2-oxopentanoate",0.288093570276187,0.220743518552794
"17","2-keto-4-methyl-valeric acid methyl ester",0.281786977979106,0.198878269694452
"18","Oxime-, methoxy-phenyl-_",1.99639040579059,4.27879356778583
"19","[2-(Trimethylsilyl)-3-methoxyphenyl]-methanol",0.464540650566185,0.164840395184137
"20","Undecane",0.218396445890078,0.109399252504802
"21","Benzene, n-butyl-",0.419766705623582,0.284479002667095
"22","Ethane, hexachloro-",0.178137073342412,0.101081214282668
"23","Oxime-, methoxy-phenyl-__1",0.971079760111107,0.633406920108539
"24","2-Propyl-1-pentanol",0.598772705140397,0.239057818233132
"25","Cyclopentasiloxane, decamethyl-",0.493275929507692,0.337394774202413
"26","Butanoic acid, 3-hydroxy-3-methyl-",0.351340769282711,0.236418379662792
